pmid	file_path:line	cited_author	cited_year	cited_journal	pubmed_author	pubmed_year	pubmed_journal	status	suggested_correction_pmid	severity
29897841	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/manuscript_template.md:303			N Engl J Med	Sridhar	2018	N Engl J Med	OK		minor
38245116	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/manuscript_template.md:304			Lancet Glob Health	Tricou	2024	Lancet Glob Health	OK		minor
38294972	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/manuscript_template.md:305			N Engl J Med	Kallás	2024	N Engl J Med	OK		minor
39074297	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/pmid_verification_audit.tsv:20	Bruna	2024		Kulmann-Leal	2024	Genet Mol Biol	FLAGGED_IN_AUDIT_DOC		informational
40070842	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/pmid_verification_audit.tsv:21	Ute	2025		Solloch	2025	Front Immunol	FLAGGED_IN_AUDIT_DOC		informational
40070842	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/pmid_verification_audit.tsv:21	Year	2025		Solloch	2025	Front Immunol	FLAGGED_IN_AUDIT_DOC		informational
41497982	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/pmid_verification_audit.tsv:22	Luisa	2025		Muñoz	2025	Front Immunol	FLAGGED_IN_AUDIT_DOC		informational
41497982	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/pmid_verification_audit.tsv:22	Year	2025		Muñoz	2025	Front Immunol	FLAGGED_IN_AUDIT_DOC		informational
31552052	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/pmid_verification_audit.tsv:23	Yuan	2019		Tian	2019	Front Immunol	FLAGGED_IN_AUDIT_DOC		informational
36335052	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/pmid_verification_audit.tsv:24	Amber	2022		Barton	2023	Hum Immunol	FLAGGED_IN_AUDIT_DOC		informational
36335052	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/pmid_verification_audit.tsv:24				Barton	2023	Hum Immunol	FLAGGED_IN_AUDIT_DOC		informational
