region	locus	rows	path
brazil_all	A	1328	/data/james/ica-dengue/afnd_tables/brazil_all_A.tsv
brazil_all	B	2352	/data/james/ica-dengue/afnd_tables/brazil_all_B.tsv
brazil_all	C	303	/data/james/ica-dengue/afnd_tables/brazil_all_C.tsv
brazil_all	DPB1	203	/data/james/ica-dengue/afnd_tables/brazil_all_DPB1.tsv
brazil_all	DQB1	401	/data/james/ica-dengue/afnd_tables/brazil_all_DQB1.tsv
brazil_all	DRB1	2386	/data/james/ica-dengue/afnd_tables/brazil_all_DRB1.tsv
brazil_central	A	84	/data/james/ica-dengue/afnd_tables/brazil_central_A.tsv
brazil_central	B	141	/data/james/ica-dengue/afnd_tables/brazil_central_B.tsv
brazil_central	C	0	/data/james/ica-dengue/afnd_tables/brazil_central_C.tsv
brazil_central	DPB1	0	/data/james/ica-dengue/afnd_tables/brazil_central_DPB1.tsv
brazil_central	DQB1	0	/data/james/ica-dengue/afnd_tables/brazil_central_DQB1.tsv
brazil_central	DRB1	107	/data/james/ica-dengue/afnd_tables/brazil_central_DRB1.tsv
brazil_ne	A	227	/data/james/ica-dengue/afnd_tables/brazil_ne_A.tsv
brazil_ne	B	376	/data/james/ica-dengue/afnd_tables/brazil_ne_B.tsv
brazil_ne	C	14	/data/james/ica-dengue/afnd_tables/brazil_ne_C.tsv
brazil_ne	DPB1	0	/data/james/ica-dengue/afnd_tables/brazil_ne_DPB1.tsv
brazil_ne	DQB1	0	/data/james/ica-dengue/afnd_tables/brazil_ne_DQB1.tsv
brazil_ne	DRB1	130	/data/james/ica-dengue/afnd_tables/brazil_ne_DRB1.tsv
brazil_north	A	365	/data/james/ica-dengue/afnd_tables/brazil_north_A.tsv
brazil_north	B	604	/data/james/ica-dengue/afnd_tables/brazil_north_B.tsv
brazil_north	C	27	/data/james/ica-dengue/afnd_tables/brazil_north_C.tsv
brazil_north	DPB1	0	/data/james/ica-dengue/afnd_tables/brazil_north_DPB1.tsv
brazil_north	DQB1	21	/data/james/ica-dengue/afnd_tables/brazil_north_DQB1.tsv
brazil_north	DRB1	259	/data/james/ica-dengue/afnd_tables/brazil_north_DRB1.tsv
brazil_other	A	299	/data/james/ica-dengue/afnd_tables/brazil_other_A.tsv
brazil_other	B	636	/data/james/ica-dengue/afnd_tables/brazil_other_B.tsv
brazil_other	C	163	/data/james/ica-dengue/afnd_tables/brazil_other_C.tsv
brazil_other	DPB1	105	/data/james/ica-dengue/afnd_tables/brazil_other_DPB1.tsv
brazil_other	DQB1	318	/data/james/ica-dengue/afnd_tables/brazil_other_DQB1.tsv
brazil_other	DRB1	1606	/data/james/ica-dengue/afnd_tables/brazil_other_DRB1.tsv
brazil_se	A	250	/data/james/ica-dengue/afnd_tables/brazil_se_A.tsv
brazil_se	B	439	/data/james/ica-dengue/afnd_tables/brazil_se_B.tsv
brazil_se	C	99	/data/james/ica-dengue/afnd_tables/brazil_se_C.tsv
brazil_se	DPB1	98	/data/james/ica-dengue/afnd_tables/brazil_se_DPB1.tsv
brazil_se	DQB1	62	/data/james/ica-dengue/afnd_tables/brazil_se_DQB1.tsv
brazil_se	DRB1	219	/data/james/ica-dengue/afnd_tables/brazil_se_DRB1.tsv
brazil_south	A	103	/data/james/ica-dengue/afnd_tables/brazil_south_A.tsv
brazil_south	B	156	/data/james/ica-dengue/afnd_tables/brazil_south_B.tsv
brazil_south	C	0	/data/james/ica-dengue/afnd_tables/brazil_south_C.tsv
