locus	region	country	allele	population	pop_id	pct_individuals	allele_frequency	sample_size	source
A	brazil_central	Brazil	A*01	Brazil REDOME Federal District	3167		0.0885	29549	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_central	Brazil	A*01	Brazil REDOME Goias	3170		0.0927	88574	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_central	Brazil	A*01	Brazil REDOME Mato Grosso	3176		0.0907	34649	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_central	Brazil	A*01	Brazil REDOME Mato Grosso do Sul	3177		0.0882	95667	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_central	Brazil	A*02	Brazil REDOME Federal District	3167		0.2604	29549	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_central	Brazil	A*02	Brazil REDOME Goias	3170		0.2616	88574	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_central	Brazil	A*02	Brazil REDOME Mato Grosso	3176		0.2560	34649	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_central	Brazil	A*02	Brazil REDOME Mato Grosso do Sul	3177		0.2533	95667	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_central	Brazil	A*03	Brazil REDOME Federal District	3167		0.0870	29549	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_central	Brazil	A*03	Brazil REDOME Goias	3170		0.0863	88574	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_central	Brazil	A*03	Brazil REDOME Mato Grosso	3176		0.0883	34649	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
