locus	region	country	allele	population	pop_id	pct_individuals	allele_frequency	sample_size	source
A	brazil_ne	Brazil	A*01	Brazil Pernambuco Mixed	1789		0.0840	101	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_ne	Brazil	A*01	Brazil Piaui Mixed	3020		0.0710	21943	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_ne	Brazil	A*01	Brazil REDOME Alagoas	3162		0.0872	25349	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_ne	Brazil	A*01	Brazil REDOME Bahia	3165		0.0746	47399	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_ne	Brazil	A*01	Brazil REDOME Ceara	3166		0.0835	101217	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_ne	Brazil	A*01	Brazil REDOME Maranhao	3175		0.0798	10180	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_ne	Brazil	A*01	Brazil REDOME Pernambuco	3182		0.0810	92332	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_ne	Brazil	A*01	Brazil REDOME Piaui	3183		0.0721	46140	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_ne	Brazil	A*01	Brazil REDOME Rio Grande do Norte	3192		0.0873	46603	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_ne	Brazil	A*01	Brazil REDOME Sergipe	3190		0.0812	7321	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_ne	Brazil	A*01	Brazil Rio Grande do Norte Mestizo	2862		0.0870	12973	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_ne	Brazil	A*02	Brazil Pernambuco Mixed	1789		0.2870	101	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_ne	Brazil	A*02	Brazil Piaui Mixed	3020		0.2550	21943	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_ne	Brazil	A*02	Brazil REDOME Alagoas	3162		0.2505	25349	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_ne	Brazil	A*02	Brazil REDOME Bahia	3165		0.2367	47399	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
