locus	region	country	allele	population	pop_id	pct_individuals	allele_frequency	sample_size	source
C	brazil_ne	Brazil	C*01	Brazil Pernambuco Mixed	1789		0.0250	101	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_ne	Brazil	C*02	Brazil Pernambuco Mixed	1789		0.0940	101	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_ne	Brazil	C*03	Brazil Pernambuco Mixed	1789		0.0790	101	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_ne	Brazil	C*04	Brazil Pernambuco Mixed	1789		0.2280	101	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_ne	Brazil	C*05	Brazil Pernambuco Mixed	1789		0.0100	101	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_ne	Brazil	C*06	Brazil Pernambuco Mixed	1789		0.1090	101	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_ne	Brazil	C*07	Brazil Pernambuco Mixed	1789		0.2030	101	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_ne	Brazil	C*08	Brazil Pernambuco Mixed	1789		0.0450	101	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_ne	Brazil	C*12	Brazil Pernambuco Mixed	1789		0.0250	101	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_ne	Brazil	C*14	Brazil Pernambuco Mixed	1789		0.0250	101	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_ne	Brazil	C*15	Brazil Pernambuco Mixed	1789		0.0690	101	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_ne	Brazil	C*16	Brazil Pernambuco Mixed	1789		0.0500	101	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_ne	Brazil	C*17	Brazil Pernambuco Mixed	1789		0.0350	101	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_ne	Brazil	C*18	Brazil Pernambuco Mixed	1789		0.0050	101	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
