locus	region	country	allele	population	pop_id	pct_individuals	allele_frequency	sample_size	source
DRB1	brazil_ne	Brazil	DRB1*01	Brazil Piaui Mixed	3020		0.0880	21943	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*01	Brazil REDOME Alagoas	3162		0.0929	25349	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*01	Brazil REDOME Bahia	3165		0.0938	47399	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*01	Brazil REDOME Ceara	3166		0.0971	101217	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*01	Brazil REDOME Maranhao	3175		0.0914	10180	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*01	Brazil REDOME Pernambuco	3182		0.1005	92332	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*01	Brazil REDOME Piaui	3183		0.0870	46140	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*01	Brazil REDOME Rio Grande do Norte	3192		0.0992	46603	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*01	Brazil REDOME Sergipe	3190		0.0914	7321	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*01	Brazil Rio Grande do Norte Mestizo	2862		0.1000	12973	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*03	Brazil Piaui Mixed	3020		0.0960	21943	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*03	Brazil REDOME Alagoas	3162		0.0942	25349	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*03	Brazil REDOME Bahia	3165		0.1077	47399	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*03	Brazil REDOME Ceara	3166		0.0882	101217	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*03	Brazil REDOME Maranhao	3175		0.0839	10180	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*03	Brazil REDOME Pernambuco	3182		0.0883	92332	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*03	Brazil REDOME Piaui	3183		0.0960	46140	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*03	Brazil REDOME Rio Grande do Norte	3192		0.0882	46603	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*03	Brazil REDOME Sergipe	3190		0.0971	7321	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*03	Brazil Rio Grande do Norte Mestizo	2862		0.0890	12973	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*04	Brazil Piaui Mixed	3020		0.1340	21943	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*04	Brazil REDOME Alagoas	3162		0.1317	25349	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*04	Brazil REDOME Bahia	3165		0.1116	47399	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*04	Brazil REDOME Ceara	3166		0.1394	101217	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*04	Brazil REDOME Maranhao	3175		0.1349	10180	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*04	Brazil REDOME Pernambuco	3182		0.1280	92332	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*04	Brazil REDOME Piaui	3183		0.1326	46140	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*04	Brazil REDOME Rio Grande do Norte	3192		0.1369	46603	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*04	Brazil REDOME Sergipe	3190		0.1115	7321	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*04	Brazil Rio Grande do Norte Mestizo	2862		0.1400	12973	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*07	Brazil Piaui Mixed	3020		0.1260	21943	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*07	Brazil REDOME Alagoas	3162		0.1245	25349	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*07	Brazil REDOME Bahia	3165		0.1257	47399	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*07	Brazil REDOME Ceara	3166		0.1326	101217	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*07	Brazil REDOME Maranhao	3175		0.1261	10180	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*07	Brazil REDOME Pernambuco	3182		0.1281	92332	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_ne	Brazil	DRB1*07	Brazil REDOME Piaui	3183		0.1246	46140	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
