locus	region	country	allele	population	pop_id	pct_individuals	allele_frequency	sample_size	source
C	brazil_north	Brazil	C*01	Brazil Curitiba-Parana Mixed	3278		0.0692	264	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_north	Brazil	C*01	Brazil Parana Japanese	3421	34.0	0.1875	192	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_north	Brazil	C*02	Brazil Curitiba-Parana Mixed	3278		0.0558	264	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_north	Brazil	C*02	Brazil Parana Japanese	3421	1.0	0.0026	192	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_north	Brazil	C*03	Brazil Curitiba-Parana Mixed	3278		0.1049	264	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_north	Brazil	C*03	Brazil Parana Japanese	3421	40.0	0.2214	192	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_north	Brazil	C*04	Brazil Curitiba-Parana Mixed	3278		0.1674	264	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_north	Brazil	C*04	Brazil Parana Japanese	3421	9.0	0.0469	192	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_north	Brazil	C*05	Brazil Curitiba-Parana Mixed	3278		0.0246	264	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_north	Brazil	C*05	Brazil Parana Japanese	3421	4.0	0.0183	192	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_north	Brazil	C*06	Brazil Curitiba-Parana Mixed	3278		0.0647	264	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_north	Brazil	C*06	Brazil Parana Japanese	3421	5.0	0.0235	192	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_north	Brazil	C*07	Brazil Curitiba-Parana Mixed	3278		0.2746	264	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_north	Brazil	C*07	Brazil Parana Japanese	3421	32.0	0.1719	192	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_north	Brazil	C*08	Brazil Curitiba-Parana Mixed	3278		0.0380	264	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_north	Brazil	C*08	Brazil Parana Japanese	3421	16.0	0.0859	192	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_north	Brazil	C*12	Brazil Curitiba-Parana Mixed	3278		0.0737	264	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_north	Brazil	C*12	Brazil Parana Japanese	3421	16.0	0.0912	192	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_north	Brazil	C*14	Brazil Curitiba-Parana Mixed	3278		0.0246	264	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_north	Brazil	C*14	Brazil Parana Japanese	3421	19.0	0.1016	192	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_north	Brazil	C*15	Brazil Curitiba-Parana Mixed	3278		0.0424	264	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_north	Brazil	C*15	Brazil Parana Japanese	3421	8.0	0.0391	192	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_north	Brazil	C*16	Brazil Curitiba-Parana Mixed	3278		0.0335	264	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_north	Brazil	C*16	Brazil Parana Japanese	3421	1.0	0.0053	192	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
C	brazil_north	Brazil	C*17	Brazil Curitiba-Parana Mixed	3278		0.0156	264	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
