locus	region	country	allele	population	pop_id	pct_individuals	allele_frequency	sample_size	source
A	brazil_south	Brazil	A*01	Brazil REDOME Rio Grande do Sul	3185		0.1083	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*01	Brazil REDOME Santa Catarina	3188		0.1110	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*01	Brazil Rio Grande do Sul Black	3196		0.0420	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*01	Brazil Rio Grande do Sul Caucasoid	3197		0.1050	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*01	Brazil Rio Grande do Sul Mixed	3198		0.0870	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*02	Brazil REDOME Rio Grande do Sul	3185		0.2745	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*02	Brazil REDOME Santa Catarina	3188		0.2804	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*02	Brazil Rio Grande do Sul Black	3196		0.2230	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*02	Brazil Rio Grande do Sul Caucasoid	3197		0.2820	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*02	Brazil Rio Grande do Sul Mixed	3198		0.2600	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*03	Brazil REDOME Rio Grande do Sul	3185		0.1098	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*03	Brazil REDOME Santa Catarina	3188		0.1126	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*03	Brazil Rio Grande do Sul Black	3196		0.0640	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*03	Brazil Rio Grande do Sul Caucasoid	3197		0.1070	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*03	Brazil Rio Grande do Sul Mixed	3198		0.0920	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*11	Brazil REDOME Rio Grande do Sul	3185		0.0530	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*11	Brazil REDOME Santa Catarina	3188		0.0528	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*11	Brazil Rio Grande do Sul Black	3196		0.0240	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*11	Brazil Rio Grande do Sul Caucasoid	3197		0.0530	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*11	Brazil Rio Grande do Sul Mixed	3198		0.0500	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
