locus	region	country	allele	population	pop_id	pct_individuals	allele_frequency	sample_size	source
B	brazil_south	Brazil	B*07	Brazil REDOME Rio Grande do Sul	3185		0.0795	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*07	Brazil REDOME Santa Catarina	3188		0.0847	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*07	Brazil Rio Grande do Sul Black	3196		0.0380	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*07	Brazil Rio Grande do Sul Caucasoid	3197		0.0710	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*07	Brazil Rio Grande do Sul Mixed	3198		0.0780	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*08	Brazil REDOME Rio Grande do Sul	3185		0.0641	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*08	Brazil REDOME Santa Catarina	3188		0.0629	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*08	Brazil Rio Grande do Sul Black	3196		0.0460	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*08	Brazil Rio Grande do Sul Caucasoid	3197		0.0620	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*08	Brazil Rio Grande do Sul Mixed	3198		0.0460	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*13	Brazil REDOME Rio Grande do Sul	3185		0.0196	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*13	Brazil REDOME Santa Catarina	3188		0.0185	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*13	Brazil Rio Grande do Sul Black	3196		0.0120	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*13	Brazil Rio Grande do Sul Caucasoid	3197		0.0160	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*13	Brazil Rio Grande do Sul Mixed	3198		0.0120	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*14	Brazil REDOME Rio Grande do Sul	3185		0.0493	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*14	Brazil REDOME Santa Catarina	3188		0.0467	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*14	Brazil Rio Grande do Sul Black	3196		0.0480	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*14	Brazil Rio Grande do Sul Caucasoid	3197		0.0520	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*14	Brazil Rio Grande do Sul Mixed	3198		0.0630	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*15	Brazil REDOME Rio Grande do Sul	3185		0.0810	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*15	Brazil REDOME Santa Catarina	3188		0.0736	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*15	Brazil Rio Grande do Sul Black	3196		0.1470	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*15	Brazil Rio Grande do Sul Caucasoid	3197		0.0790	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*15	Brazil Rio Grande do Sul Mixed	3198		0.1000	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*18	Brazil REDOME Rio Grande do Sul	3185		0.0509	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*18	Brazil REDOME Santa Catarina	3188		0.0494	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*18	Brazil Rio Grande do Sul Black	3196		0.0320	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*18	Brazil Rio Grande do Sul Caucasoid	3197		0.0490	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*18	Brazil Rio Grande do Sul Mixed	3198		0.0380	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*27	Brazil REDOME Rio Grande do Sul	3185		0.0274	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*27	Brazil REDOME Santa Catarina	3188		0.0277	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*27	Brazil Rio Grande do Sul Black	3196		0.0120	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*27	Brazil Rio Grande do Sul Caucasoid	3197		0.0270	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*27	Brazil Rio Grande do Sul Mixed	3198		0.0260	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*35	Brazil REDOME Rio Grande do Sul	3185		0.1232	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*35	Brazil REDOME Santa Catarina	3188		0.1274	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*35	Brazil Rio Grande do Sul Black	3196		0.1020	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*35	Brazil Rio Grande do Sul Caucasoid	3197		0.1270	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*35	Brazil Rio Grande do Sul Mixed	3198		0.1080	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*37	Brazil REDOME Rio Grande do Sul	3185		0.0110	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*37	Brazil REDOME Santa Catarina	3188		0.0120	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*37	Brazil Rio Grande do Sul Black	3196		0.0020	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*37	Brazil Rio Grande do Sul Caucasoid	3197		0.0100	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*37	Brazil Rio Grande do Sul Mixed	3198		0.0130	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*38	Brazil REDOME Rio Grande do Sul	3185		0.0243	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*38	Brazil REDOME Santa Catarina	3188		0.0260	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*39	Brazil REDOME Rio Grande do Sul	3185		0.0340	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
B	brazil_south	Brazil	B*39	Brazil REDOME Santa Catarina	3188		0.0330	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
