locus	region	country	allele	population	pop_id	pct_individuals	allele_frequency	sample_size	source
DRB1	brazil_south	Brazil	DRB1*01	Brazil REDOME Rio Grande do Sul	3185		0.1011	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*01	Brazil REDOME Santa Catarina	3188		0.1091	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*01	Brazil Rio Grande do Sul Black	3196		0.0760	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*01	Brazil Rio Grande do Sul Caucasoid	3197		0.1090	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*01	Brazil Rio Grande do Sul Mixed	3198		0.1000	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*03	Brazil REDOME Rio Grande do Sul	3185		0.0967	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*03	Brazil REDOME Santa Catarina	3188		0.0949	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*03	Brazil Rio Grande do Sul Black	3196		0.1200	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*03	Brazil Rio Grande do Sul Caucasoid	3197		0.0970	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*03	Brazil Rio Grande do Sul Mixed	3198		0.1060	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*04	Brazil REDOME Rio Grande do Sul	3185		0.1268	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*04	Brazil REDOME Santa Catarina	3188		0.1278	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*04	Brazil Rio Grande do Sul Black	3196		0.1250	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*04	Brazil Rio Grande do Sul Caucasoid	3197		0.1340	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*04	Brazil Rio Grande do Sul Mixed	3198		0.1250	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*07	Brazil REDOME Rio Grande do Sul	3185		0.1325	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*07	Brazil REDOME Santa Catarina	3188		0.1364	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*07	Brazil Rio Grande do Sul Black	3196		0.0840	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*07	Brazil Rio Grande do Sul Caucasoid	3197		0.1340	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*07	Brazil Rio Grande do Sul Mixed	3198		0.1230	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*08	Brazil REDOME Rio Grande do Sul	3185		0.0562	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*08	Brazil REDOME Santa Catarina	3188		0.0542	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*08	Brazil Rio Grande do Sul Black	3196		0.0980	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*08	Brazil Rio Grande do Sul Caucasoid	3197		0.0590	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*08	Brazil Rio Grande do Sul Mixed	3198		0.0700	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*09	Brazil REDOME Rio Grande do Sul	3185		0.0158	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*09	Brazil REDOME Santa Catarina	3188		0.0124	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*09	Brazil Rio Grande do Sul Black	3196		0.0300	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*09	Brazil Rio Grande do Sul Caucasoid	3197		0.0140	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*09	Brazil Rio Grande do Sul Mixed	3198		0.0210	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*10	Brazil REDOME Rio Grande do Sul	3185		0.0152	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*10	Brazil REDOME Santa Catarina	3188		0.0158	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*10	Brazil Rio Grande do Sul Black	3196		0.0280	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*10	Brazil Rio Grande do Sul Caucasoid	3197		0.0140	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
