locus	region	country	allele	population	pop_id	pct_individuals	allele_frequency	sample_size	source
A	nigeria	Nigeria	A*01	Nigeria	3112	2.7	0.0155	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
A	nigeria	Nigeria	A*02	Nigeria	3112	31.4	0.1783	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
A	nigeria	Nigeria	A*03	Nigeria	3112	17.8	0.0911	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
A	nigeria	Nigeria	A*23	Nigeria	3112	18.2	0.0988	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
A	nigeria	Nigeria	A*24	Nigeria	3112	1.2	0.0058	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
A	nigeria	Nigeria	A*26	Nigeria	3112	2.3	0.0116	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
A	nigeria	Nigeria	A*29	Nigeria	3112	3.1	0.0155	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
A	nigeria	Nigeria	A*30	Nigeria	3112	25.2	0.1337	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
A	nigeria	Nigeria	A*31	Nigeria	3112	0.4	0.0019	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
A	nigeria	Nigeria	A*32	Nigeria	3112	1.9	0.0097	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
A	nigeria	Nigeria	A*33	Nigeria	3112	13.2	0.0678	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
A	nigeria	Nigeria	A*34	Nigeria	3112	9.3	0.0485	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
A	nigeria	Nigeria	A*36	Nigeria	3112	17.4	0.0930	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
A	nigeria	Nigeria	A*66	Nigeria	3112	8.1	0.0407	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
A	nigeria	Nigeria	A*68	Nigeria	3112	22.5	0.1163	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
A	nigeria	Nigeria	A*74	Nigeria	3112	12.8	0.0640	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
A	nigeria	Nigeria	A*80	Nigeria	3112	1.6	0.0078	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
