locus	region	country	allele	population	pop_id	pct_individuals	allele_frequency	sample_size	source
B	nigeria	Nigeria	B*07	Nigeria	3112	14.0	0.0756	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
B	nigeria	Nigeria	B*08	Nigeria	3112	1.2	0.0058	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
B	nigeria	Nigeria	B*13	Nigeria	3112	0.8	0.0039	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
B	nigeria	Nigeria	B*14	Nigeria	3112	3.5	0.0174	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
B	nigeria	Nigeria	B*15	Nigeria	3112	27.9	0.1550	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
B	nigeria	Nigeria	B*18	Nigeria	3112	6.6	0.0330	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
B	nigeria	Nigeria	B*27	Nigeria	3112	0.4	0.0019	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
B	nigeria	Nigeria	B*35	Nigeria	3112	16.3	0.0833	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
B	nigeria	Nigeria	B*37	Nigeria	3112	1.2	0.0058	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
B	nigeria	Nigeria	B*39	Nigeria	3112	3.1	0.0155	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
B	nigeria	Nigeria	B*41	Nigeria	3112	1.6	0.0078	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
B	nigeria	Nigeria	B*42	Nigeria	3112	8.1	0.0465	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
B	nigeria	Nigeria	B*44	Nigeria	3112	10.9	0.0601	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
B	nigeria	Nigeria	B*45	Nigeria	3112	6.2	0.0310	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
B	nigeria	Nigeria	B*47	Nigeria	3112	0.4	0.0019	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
B	nigeria	Nigeria	B*49	Nigeria	3112	7.0	0.0349	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
B	nigeria	Nigeria	B*50	Nigeria	3112	0.8	0.0039	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
B	nigeria	Nigeria	B*51	Nigeria	3112	3.9	0.0194	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
B	nigeria	Nigeria	B*52	Nigeria	3112	3.5	0.0174	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
B	nigeria	Nigeria	B*53	Nigeria	3112	38.0	0.2209	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
B	nigeria	Nigeria	B*57	Nigeria	3112	7.8	0.0388	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
B	nigeria	Nigeria	B*58	Nigeria	3112	20.5	0.1027	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
B	nigeria	Nigeria	B*81	Nigeria	3112	3.5	0.0174	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=B&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
