locus	region	country	allele	population	pop_id	pct_individuals	allele_frequency	sample_size	source
C	nigeria	Nigeria	C*02	Nigeria	3112	18.6	0.0950	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
C	nigeria	Nigeria	C*03	Nigeria	3112	15.9	0.0833	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
C	nigeria	Nigeria	C*04	Nigeria	3112	50.0	0.3101	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
C	nigeria	Nigeria	C*05	Nigeria	3112	1.6	0.0078	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
C	nigeria	Nigeria	C*06	Nigeria	3112	15.1	0.0775	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
C	nigeria	Nigeria	C*07	Nigeria	3112	32.2	0.1705	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
C	nigeria	Nigeria	C*08	Nigeria	3112	6.6	0.0330	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
C	nigeria	Nigeria	C*12	Nigeria	3112	3.5	0.0174	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
C	nigeria	Nigeria	C*14	Nigeria	3112	4.7	0.0233	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
C	nigeria	Nigeria	C*15	Nigeria	3112	6.6	0.0330	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
C	nigeria	Nigeria	C*16	Nigeria	3112	14.3	0.0736	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
C	nigeria	Nigeria	C*17	Nigeria	3112	9.7	0.0543	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
C	nigeria	Nigeria	C*18	Nigeria	3112	4.3	0.0213	258	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=C&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Nigeria
