parameter	param_value	pearson_r	butantan_correctly_first
epitope_threshold	-9.0	0.282	true
epitope_threshold	-7.7	0.352	true
epitope_threshold	-6.5	0.298	true
epitope_threshold	-5.0	0.171	false
mhc_i_rank_cutoff	0.5	0.341	true
mhc_i_rank_cutoff	1.0	0.352	true
mhc_i_rank_cutoff	2.0	0.346	true
mhc_i_rank_cutoff	5.0	0.262	false
mhc_ii_rank_cutoff	1.0	0.352	true
mhc_ii_rank_cutoff	2.0	0.352	true
mhc_ii_rank_cutoff	5.0	0.349	true
mhc_ii_rank_cutoff	10.0	0.348	true
ede_residue_set	rouvinski_2015_minimal	0.352	true
ede_residue_set	rouvinski_2015_extended	0.328	true
ede_residue_set	dejnirattisai_2015	0.301	true
ede_residue_set	full_envelope	0.107	false
weight_w_A	0.0	-0.173	false
weight_w_A	0.25	-0.057	true
weight_w_A	0.5	0.213	true
weight_w_A	0.75	0.352	true
weight_w_A	1.0	0.324	true
