cluster_index	entry_index	entity	is_centroid	similarity
0	0	>sp|P17763|POLG_DEN1W	True	100.0
1	0	>sp|P29990|POLG_DEN26	True	100.0
2	0	>sp|P27915|POLG_DEN3P	True	100.0
3	0	>sp|P09866|POLG_DEN4D	True	100.0
